symbol,status,rows,cluster,error
DOGEUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
DOTUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
DXY.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
ETCUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
ETHUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EU50.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_AUD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_CAD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_CHF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_CZK,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_GBP,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_HUF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_JPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_NOK,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_NZD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_PLN,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
EUR_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
FETUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
FRA40.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GALUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GBPJPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GBP_AUD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GBP_CAD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GBP_CHF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GBP_JPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GBP_NZD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GBP_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GER40.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GOOG,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
GRTUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
HEATOIL.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
HK50.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
IBE,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
ICPUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
IMXUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
JP225.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
LNKUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
LTCUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
LVMH,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
MANUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
META,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
MSFT,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
N25.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NATGAS.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NEOUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NERUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NFLX,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NVDA,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NZDUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NZD_CAD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NZD_CHF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NZD_JPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
NZD_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
PFE,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
RACE,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
SANUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
SOLUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
SOYBEAN.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
SPN35.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
SUGAR.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
T,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
TSLA,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
UK100.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
UKOIL.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
UNIUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
US100.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
US2000.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
US30.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
US500.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USDCNH,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USDZAR,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_CAD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_CHF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_CNH,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_CZK,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_HKD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_HUF,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_ILS,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_JPY,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_MXN,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_NOK,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_PLN,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_SEK,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_SGD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USD_ZAR,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
USOIL.cash,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
V,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
VECUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
VOWG_p,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
WHEAT.c,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
WMT,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XAG_AUD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XAG_EUR,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XAG_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XAU_AUD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XAU_EUR,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XAU_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XCU_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XLMUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XMRUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XPD_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XPT_USD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XRPUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
XTZUSD,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
ZM,error,,,A process in the process pool was terminated abruptly while the future was running or pending.
